2018/2019,2018,08000013,Escola Francesc Platón i Sartí,1,Públic,01,Dep.Ensenyament,"C. Salvador Espriu, 3",08630,937 700 381,937 700 783,0308,Baix Llobregat,11,Baix Llobregat,08001,080018,Abrera,00,,14,Entitat Oest d'Abrera,,408249.726,4596518.584,1.900457916,41.515049613,a8000013@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.515049613, 1.900457916)"
2018/2019,2018,08000049,Escola Fabra,1,Públic,01,Dep.Ensenyament,"Av. del Bosquet, 1",08328,935 557 803,935 557 961,0508,Maresme - Vallès Oriental,21,Maresme,08003,080039,Alella,00,,01,Alella,Maresme Sud,441390.491,4593888.575,2.297838496,41.494473072,a8000049@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.494473072, 2.297838496)"
2018/2019,2018,08000086,Escola La Forja - ZER Alt Lluçanès,1,Públic,01,Dep.Ensenyament,"Ctra. Lluçanesa, 8",08589,938 527 007,,1060,Catalunya Central,24,Osona,08004,080044,Alpens,00,,01,Alpens,Osona,425613.591,4663545.525,2.10010879,42.120485359,a8000086@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(42.120485359, 2.10010879)"
2018/2019,2018,08000098,Escola Bertí,1,Públic,01,Dep.Ensenyament,"Antic Camí de Caldes, s/n",08480,938 432 778,938 432 778,0508,Maresme - Vallès Oriental,41,Vallès Oriental,08005,080057,L'Ametlla del Vallès,00,,01,L'Ametlla del Vallès,Vallès Oriental - Granollers,438404.786,4612998.135,2.260109509,41.666360883,a8000098@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.666360883, 2.260109509)"
2018/2019,2018,08000131,La Presentació,2,Privat,24,Ordes i Cong.,"C. Pompeu Fabra, 2",08350,937 920 241,937 922 252,0508,Maresme - Vallès Oriental,21,Maresme,08006,080060,Arenys de Mar,00,,01,Arenys de Mar,,462247.557,4603883.674,2.547075835,41.585754015,a8000131@xtec.cat,,EINF2C,EPRI,ESO,BATX,,CFPM,,,,,,,,,,,,,,,,,,,,,,,,"(41.585754015, 2.547075835)"
2018/2019,2018,08000153,Escola Joan Maragall,1,Públic,01,Dep.Ensenyament,"C. Riera Sa Clavella, s/n",08350,937 922 802,937 958 206,0508,Maresme - Vallès Oriental,21,Maresme,08006,080060,Arenys de Mar,00,,01,Arenys de Mar,,462182.181,4603512.17,2.54631495,41.582404768,a8000153@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.582404768, 2.54631495)"
2018/2019,2018,08000165,Escola Sant Martí,1,Públic,01,Dep.Ensenyament,"C. Generalitat, 2",08358,937 938 070,937 938 070,0508,Maresme - Vallès Oriental,21,Maresme,08007,080076,Arenys de Munt,00,,01,Arenys de Munt,,461549.887,4606472.086,2.53853995,41.609034581,a8000165@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.609034581, 2.53853995)"
2018/2019,2018,08000189,Escola Bernat de Riudemeia,1,Públic,01,Dep.Ensenyament,"C. Bernat de Riudemeia, 27",08310,937 970 956,937 970 956,0508,Maresme - Vallès Oriental,21,Maresme,08009,080095,Argentona,00,,01,Argentona,Maresme Sud,450021.771,4600373.954,2.400699454,41.553471155,a8000189@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.553471155, 2.400699454)"
2018/2019,2018,08000220,Vedruna,2,Privat,22,Fundacions,"C. Carme, 16",08271,938 305 212,938 202 802,1060,Catalunya Central,07,Bages,08010,080109,Artés,00,,01,Artés,Bages,413022.796,4627878.978,1.953085236,41.798004773,a8000220@xtec.cat,,EINF2C,EPRI,ESO,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.798004773, 1.953085236)"
2018/2019,2018,08000244,Escola Doctor Ferrer,1,Públic,01,Dep.Ensenyament,"C. Barcelona, 23",08271,938 305 377,938 305 377,1060,Catalunya Central,07,Bages,08010,080109,Artés,00,,01,Artés,Bages,412956.696,4627650.886,1.9523232,41.795943436,a8000244@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.795943436, 1.9523232)"
2018/2019,2018,08000271,Escola Santa Maria d'Avià,1,Públic,01,Dep.Ensenyament,"C. Escoles, s/n",08610,938 230 376,938 231 806,1060,Catalunya Central,14,Berguedà,08011,080116,Avià,00,,01,Avià,,402359.062,4659051.837,1.819588336,42.077470674,a8000271@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(42.077470674, 1.819588336)"
2018/2019,2018,08000323,Escola Barnola,1,Públic,01,Dep.Ensenyament,"C. Indústria, 6",08279,938 387 279,938 387 279,1060,Catalunya Central,07,Bages,08012,080121,Avinyó,00,,01,Avinyó,Bages,414742.04,4635381.342,1.972696125,41.865753898,a8000323@xtec.cat,,EINF2C,EPRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(41.865753898, 1.972696125)"
